title,
Jobs: by PI,
parameters,
,
start,end
2019-01-01,2019-12-31
---------,
PI,Number of Jobs Ended
dienes,8503
staff,6484
behroozi,6132
amainzer,5339
edwardjbedrick,5279
oiz,4574
satheesh,4457
bob,4236
lmcguire,3916
nlp,3808
zsz,3665
hz,3563
mfh,3524
kkratter,3201
rlysecky,3198
judee,3136
granzier,3024
cusanovichlab,2918
faselh,2839
atila,2764
alanger,2751
hjo,2746
jekan,2615
gbesla,2548
xfan,2467
curtisthorne,2362
raichlen,2201
hoshin,2163
tgk,2152
cosmolike,2132
msurdeanu,2110
rc,2073
bashgroup,2002
tbose,1986
meilingw,1937
caos,1923
barman,1921
niug,1865
dmarrone,1840
gwp,1810
tgbeatty,1807
dpstark,1789
fozel,1728
mcgrath,1727
yadegari,1706
barberan,1652
kemeny,1637
yann,1631
nkchen,1534
guven,1530
yinghuichou,1518
krishna,1469
donata,1464
ling-582,1458
birds,1429
kmkshare,1408
yongge,1398
tomasiak,1383
dornhaus,1358
erozo,1296
worobey,1253
goyalr,1212
qinghao,1185
claytonm,1130
tandonr,1125
schlenke,1087
haiquan,1069
mekevans,1066
student,1043
jdpellet,1020
kobourov,1017
charig,1013
ece569,990
robertof,958
orbachmj,953
haozhang,951
dcbrown,947
johnson6,944
lecondon,918
mcn1,889
jchurko,857
pajansen,814
halkateb,808
liangr,784
pchhsu,781
dlichten,775
cederburg,757
sbyrne,726
ducea,725
wmoore,724
whiteman,721
jzhou,708
ekiser,701
monti,686
ditzler,659
frantzis,657
cmlaukai,629
SAMOS,617
xytang,613
euanmc,609
tswetnam,605
jrmales,600
erdmann,588
ritu,552
hpcteam,533
akielar,529
nfan,518
quasars,512
lroth,508
hanquist,478
cromanoski,469
oscr,468
kobus,453
tgianetti,448
nnp,421
dfz,419
calvin_mathbio,416
ccweinkauf,390
kukolich,388
wolg,380
arabyan,358
malhotra,353
rfleisch,352
adhar,350
adekstrom,337
zhangjw,325
rbinder,323
echriste,322
dpsaltis,313
madenci,313
gondyleroy,308
sanov,298
francescavitali,295
judith,295
kbatai,291
lim,289
CPRL,284
lega,265
lnagy,262
sjmiller,262
winter,262
jeisner,261
pierre,254
mmo,249
hxin,247
vsubbian,247
quantumphotonicapplications,240
hcup,237
yves,237
trouard,235
deeptab,234
tmerritt,230
rmosher,229
jenmc,226
astrorv,219
lansey,212
shaneburgess,200
kevingaffney,188
pd,186
changxuwu,185
krunz,179
tzega,179
vasic,171
honghua,166
rgallery,165
tjyeh,163
brio,160
jneilson,158
tommik,158
montfort,157
fionamcc,156
sarawillis,153
bjoyce3,150
sgralla,150
lisamwhite,148
zhangshu,147
pembertn,144
mculver,142
css19,140
dpscheitrum,140
juren,137
nirav,136
UASAL,133
heidorn,132
mullen,132
neomartinez,126
pa572fall19,117
ericlyons,116
dkp,114
geraldj,110
bosschen,107
chiu,98
kraftm,97
hutchinsone,95
jkbrown,95
csc585,94
smissoum,89
gowrisan,87
melaniebell,87
plan,87
sreynold,87
josh,84
jesst,83
mbeilstein,82
ece677f18,80
armin,78
adhenry,77
hucc,77
ganguly,75
ajrosengren,72
bisr,72
slbeck,72
boguo,70
ptys,70
hammond,69
eis_nielsen,67
sram,67
fluids1,66
tfaily,64
toddtest,59
momayez_rpl,58
myjeon,58
reiners,58
laurameredith,57
gwas,56
cscheid,55
emash,55
lofverstrom,54
fgoodrum,53
kanchukaitis,52
yotam,51
lyzhang,50
yaojan,48
mse551-2019,44
jwjacobs,43
kflessa,43
regisf,42
zhiyudai,42
llama,41
chamilton,40
ua-hlt,40
johannr,38
deymier,36
mxiao,34
manga,33
lemr,31
maykhanna,31
dewsants,30
fungi,30
lamoureu,30
tesaod,30
wiensj,30
manojsar,29
achilli,27
anhughes,27
lcalderin,27
sanderm,26
mbruck,25
mbhattacharyalab,24
paulcarini,23
brant,22
chrisweber,22
galbrait,20
davidjpmoore,19
hpc,19
icepig,19
rychlik,19
atlorenzo,18
jshockey,18
rwitte,18
serena00,18
agalvao,17
tosiron,17
wboynton,17
mbsulli,16
poirierd,16
agaspar,15
decelles,15
pkapp,14
klprudic,13
bilgin,12
dontsova,12
jkidd,12
kdlugosch,12
lin1,12
behrangi,11
michod,11
rwing,11
cholik,10
cihantunc,10
oge,10
guangyao,8
klaksari,8
kohlers,8
molab,8
bparent,7
jiahu,7
jvm2,7
baker,6
dlebauer,6
duey,6
wensx,6
chichengz,5
ffrasche,5
genomeanalytics,5
dshyshlov,4
ktmorz,4
systems,4
uasal-undergrads,4
whitake1,4
yelle,4
amcewen,3
apil,3
barnesca,3
bh_class,3
cibs,3
ckpark,3
dglicken,3
ferng,3
haldar,3
jqcheng,3
pgoodman,3
stocklab,3
acl,2
avf,2
bethm,2
jandrewshanna,2
leeuw,2
preverdy,2
rwg2,2
tkundu,2
vandoorslaer,2
